TEMPLATE_ID,SUBJECT_ID,FILENAME,SIGHTING_ID,FACE_X,FACE_Y,FACE_WIDTH,FACE_HEIGHT,RIGHT_EYE_X,RIGHT_EYE_Y,LEFT_EYE_X,LEFT_EYE_Y,NOSE_X,NOSE_Y
949,12444,img/113904.jpg,66888,116,73,330,461,242,257,366,283,297,356
949,12444,img/114181.jpg,67939,109,30,143,178,160,104,212,112,183,148
949,12444,img/112568.jpg,66706,135,52,294,418,258,279,361,294,306,374
949,12444,img/113073.jpg,67838,130,61,302,430,258,292,363,306,307,386
949,12444,img/114098.jpg,66982,106,47,183,236,155,175,220,169,188,229
949,12444,img/113010.jpg,66388,524,23,190,272,572,151,640,146,604,207
949,12444,img/112456.jpg,66510,195,73,86,103,213,114,239,123,215,136
949,12444,img/113842.jpg,68084,25,45,151,173,56,121,106,117,81,166
949,12444,img/113371.jpg,68004,62,22,115,156,113,88,154,95,131,124
950,12445,img/112588.jpg,66461,560,223,94,91,631,258,NaN,NaN,647,272
951,12446,img/112558.jpg,67883,226,51,92,122,261,98,302,103,279,125
951,12446,img/112613.jpg,67679,173,78,85,106,197,124,234,123,218,147
951,12446,img/113834.jpg,67551,147,50,78,104,NaN,NaN,214,100,204,117
951,12446,img/113256.jpg,66497,179,96,82,108,218,144,248,143,236,168
951,12446,img/113314.jpg,66424,166,73,91,98,170,112,193,108,172,133
951,12446,img/112984.jpg,67689,165,83,95,103,221,131,251,127,241,156
951,12446,img/113237.jpg,67500,196,62,82,88,217,97,249,87,241,109
951,12446,img/113264.jpg,67665,182,76,74,93,201,117,229,114,215,134
951,12446,img/113345.jpg,66759,245,54,73,78,NaN,NaN,271,84,253,102
951,12446,img/112604.jpg,66602,192,88,76,85,230,126,254,135,237,151
952,12448,img/113672.jpg,67084,49,20,30,40,62,41,71,42,66,48
953,12449,img/112738.jpg,68130,1816,358,504,775,1867,720,1992,719,1906,869
953,12449,img/113457.jpg,67490,436,204,557,715,604,513,776,478,714,616
955,12453,img/113847.jpg,66336,796,355,196,229,820,467,865,470,831,515
956,12454,img/113387.jpg,67946,218,103,62,86,228,152,245,145,235,164
956,12454,img/113365.jpg,66322,423,109,168,191,545,176,NaN,NaN,571,224
957,12455,img/113043.jpg,66933,1815,350,973,1134,2246,827,2619,856,2483,1015
957,12455,img/113248.jpg,67669,1673,147,657,773,2010,476,2248,494,2166,610
957,12455,img/113592.jpg,68104,1407,1031,879,862,2047,1445,2192,1424,2251,1559
957,12455,img/114045.jpg,67303,831,286,783,1061,1320,826,1539,874,1479,1027
957,12455,img/113584.jpg,66682,1249,372,263,363,1407,568,1482,571,1458,626
957,12455,img/113487.jpg,66805,1233,965,467,569,1531,1232,1655,1230,1654,1293
957,12455,img/113962.jpg,66501,1115,172,741,860,1453,532,1713,542,1621,645
957,12455,img/114112.jpg,68023,135,58,128,142,231,124,NaN,NaN,260,145
958,12459,img/113988.jpg,67545,196,24,91,124,227,85,260,92,238,110
958,12459,img/112689.jpg,66390,123,78,97,157,153,158,200,164,172,194
959,12460,img/112500.jpg,66808,174,102,181,182,209,200,278,192,252,233
959,12460,img/113213.jpg,67715,268,101,83,100,296,134,327,139,309,154
959,12460,img/112801.jpg,66543,176,87,110,149,198,150,241,152,217,185
959,12460,img/113290.jpg,67138,267,83,111,125,320,129,358,138,344,155
959,12460,img/112654.jpg,66623,92,75,231,200,200,148,277,148,261,190
959,12460,img/113849.jpg,66380,287,92,73,110,318,149,347,145,339,169
959,12460,img/112669.jpg,66588,130,48,105,110,147,92,183,84,168,110
959,12460,img/112682.jpg,67777,830,98,328,391,897,273,1012,290,932,357
959,12460,img/113840.jpg,67567,247,112,71,103,264,164,293,169,278,185
959,12460,img/114212.jpg,66845,73,61,112,130,125,127,163,130,144,159
960,12461,img/113254.jpg,68139,318,246,318,417,435,372,562,349,567,461
961,12462,img/113864.jpg,68081,354,27,57,77,375,60,398,61,389,75
962,12463,img/112852.jpg,66468,202,41,247,303,311,186,404,178,379,261
963,12465,img/112622.jpg,67164,96,106,99,125,158,150,188,157,185,176
963,12465,img/113541.jpg,67170,415,97,105,127,482,146,511,154,504,172
963,12465,img/114023.jpg,67202,2093,334,1311,1767,2516,1093,3102,1120,2848,1414
963,12465,img/113031.jpg,67961,404,284,404,511,622,505,747,522,721,607
963,12465,img/113583.jpg,67899,829,292,373,498,896,496,1054,499,943,607
963,12465,img/112731.jpg,67854,98,116,178,235,127,227,195,220,160,275
963,12465,img/112953.jpg,68032,57,25,59,73,92,52,110,56,106,68
963,12465,img/114009.jpg,67793,361,154,239,288,420,291,506,283,458,349
963,12465,img/113025.jpg,67180,55,24,139,168,89,104,140,97,112,134
963,12465,img/113663.jpg,67302,501,5,271,335,549,158,647,157,591,231
964,12467,img/114229.jpg,67420,510,56,217,288,536,170,616,159,568,214
965,12469,img/113526.jpg,66523,68,23,69,91,118,72,NaN,NaN,121,89
965,12469,img/113227.jpg,67630,53,22,148,194,132,114,177,122,155,158
965,12469,img/114141.jpg,67207,80,51,166,205,126,128,180,145,134,181
965,12469,img/112679.jpg,67765,231,48,107,132,245,116,274,114,256,140
965,12469,img/112693.jpg,66527,101,26,178,263,158,145,226,148,188,196
965,12469,img/114142.jpg,66500,282,270,150,181,321,348,367,366,329,395
965,12469,img/113712.jpg,67378,307,161,108,105,328,183,353,177,322,200
965,12469,img/113887.jpg,67467,153,20,205,286,268,147,330,154,308,204
965,12469,img/112878.jpg,67212,47,20,146,188,114,98,164,104,142,130
965,12469,img/113504.jpg,66643,68,38,185,218,106,125,170,128,132,172
965,12469,img/112489.jpg,67386,299,112,179,247,334,200,400,223,344,265
965,12469,img/112610.jpg,67435,618,218,543,715,786,545,999,530,912,708
965,12469,img/113745.jpg,67982,90,26,40,46,104,46,113,45,107,53
965,12469,img/113748.jpg,68080,378,83,194,248,460,184,524,215,473,244
965,12469,img/113683.jpg,67761,337,173,126,171,385,249,430,240,413,274
965,12469,img/112749.jpg,67172,84,76,133,177,129,146,181,149,158,190
966,12470,img/113257.jpg,66329,360,272,102,135,407,339,439,341,424,368
967,12471,img/113485.jpg,66735,566,238,143,208,596,336,660,336,627,375
968,12472,img/113061.jpg,67618,842,193,117,169,874,265,928,265,899,309
968,12472,img/113778.jpg,67717,170,83,155,183,195,158,254,151,222,189
968,12472,img/113545.jpg,67641,414,137,306,411,NaN,NaN,502,286,448,377
968,12472,img/112862.jpg,67888,1058,489,668,807,NaN,NaN,1294,707,1156,920
968,12472,img/113531.jpg,68151,6,115,41,70,28,144,42,143,37,161
969,12474,img/112978.jpg,67801,421,328,191,275,471,452,546,448,505,493
969,12474,img/112611.jpg,66651,550,51,269,403,713,259,794,252,766,334
969,12474,img/112702.jpg,66657,96,76,49,65,110,104,127,103,118,115
969,12474,img/113292.jpg,66271,1267,998,602,811,1415,1346,1634,1338,1511,1462
970,12476,img/112900.jpg,66977,205,73,98,90,230,108,265,118,238,124
970,12476,img/112424.jpg,66514,177,31,87,117,202,85,241,85,220,103
971,12477,img/113963.jpg,67823,43,45,133,129,79,90,117,112,76,122
971,12477,img/113278.jpg,67638,161,81,178,231,194,180,271,185,224,238
971,12477,img/113115.jpg,67329,183,48,122,169,216,133,268,140,238,171
972,12478,img/113110.jpg,66321,153,70,183,247,185,197,241,185,218,240
973,12479,img/112809.jpg,68068,227,127,111,151,266,209,313,206,294,240
973,12479,img/113600.jpg,67726,215,128,170,230,254,221,332,234,284,286
973,12479,img/113522.jpg,67516,226,145,64,82,247,178,276,180,263,197
974,12483,img/113771.jpg,67536,224,38,296,380,310,197,423,197,363,293
974,12483,img/112466.jpg,67398,1131,599,729,843,NaN,NaN,1370,914,1204,1057
974,12483,img/112619.jpg,66810,131,15,203,253,193,123,265,125,229,187
974,12483,img/112690.jpg,67029,929,382,1726,2315,1308,1449,1934,1483,1558,1939
974,12483,img/113064.jpg,66268,605,370,462,632,746,644,915,609,858,735
974,12483,img/113860.jpg,67758,161,26,74,97,174,72,198,73,183,91
975,12485,img/113193.jpg,67969,439,377,917,1028,590,801,868,754,712,1034
975,12485,img/113370.jpg,67011,1062,379,1591,2139,1340,1404,1950,1315,1651,1813
975,12485,img/113495.jpg,67343,545,74,132,166,633,152,666,157,656,191
975,12485,img/113693.jpg,66391,132,39,128,168,149,121,195,113,166,150
975,12485,img/114186.jpg,66772,596,40,191,268,639,158,718,166,663,215
976,12486,img/112601.jpg,66674,186,286,109,122,261,350,284,344,285,367
976,12486,img/113023.jpg,67451,346,22,198,259,389,149,472,153,428,196
976,12486,img/113437.jpg,66521,1321,280,650,847,1378,696,1462,671,1382,862
976,12486,img/113300.jpg,67868,355,129,398,541,505,349,690,383,598,473
976,12486,img/112720.jpg,67347,205,67,242,323,298,204,404,225,354,273
976,12486,img/112495.jpg,67311,295,116,101,120,360,169,387,177,380,189
977,12487,img/114151.jpg,67115,1372,841,751,1025,1640,1332,1955,1349,1802,1516
977,12487,img/113957.jpg,67053,383,144,122,169,406,229,451,224,426,259
977,12487,img/113653.jpg,67520,614,198,327,431,665,401,763,380,687,470
978,12489,img/113588.jpg,67860,191,100,148,179,222,183,269,178,243,218
978,12489,img/112945.jpg,66361,896,38,208,270,970,159,1052,169,1009,227
979,12490,img/115279.jpg,68472,190,81,66,90,218,128,243,127,232,144
979,12490,img/115446.jpg,69413,514,123,172,202,595,219,657,213,631,260
979,12490,img/112869.jpg,67870,228,102,90,109,272,150,305,154,289,178
979,12490,img/114605.jpg,68422,446,111,199,227,536,220,606,221,570,270
980,12492,img/112649.jpg,68131,177,52,116,113,211,109,254,104,236,127
980,12492,img/113950.jpg,67309,669,393,411,476,753,599,905,601,809,700
980,12492,img/112799.jpg,66597,212,127,143,157,241,191,291,192,259,225
981,12493,img/112513.jpg,66256,24,35,171,287,114,195,159,215,130,262
981,12493,img/113260.jpg,67272,159,54,128,147,234,111,271,118,259,140
981,12493,img/113398.jpg,67950,296,109,193,246,329,206,393,205,339,249
981,12493,img/114154.jpg,66356,188,66,111,141,239,115,284,123,267,152
981,12493,img/113155.jpg,67087,207,3,132,108,264,20,315,9,307,53
981,12493,img/113423.jpg,66509,230,78,35,40,246,96,258,102,250,104
982,12494,img/113161.jpg,66502,864,146,173,227,920,258,979,252,951,302
982,12494,img/113229.jpg,67206,305,63,136,158,325,138,364,131,340,170
982,12494,img/113995.jpg,67918,1006,609,930,1156,1641,1104,1883,1127,1837,1351
982,12494,img/112827.jpg,67522,280,105,58,74,308,136,328,140,317,150
982,12494,img/112740.jpg,68030,438,40,39,50,449,63,463,59,458,71
983,12495,img/112442.jpg,66828,490,185,121,150,552,237,594,242,586,265
983,12495,img/114058.jpg,66418,176,56,170,179,204,120,265,136,201,162
983,12495,img/113210.jpg,66852,1391,225,108,135,1411,275,1447,275,1420,297
984,12497,img/113901.jpg,67367,294,255,397,460,463,449,591,429,558,509
984,12497,img/113689.jpg,67919,178,115,241,294,215,240,296,242,239,300
